drug,concentration,time_min,log10_cfu_ml,cfu_ml,source,figure
ciprofloxacin,0,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0,10,6.35,2238721.14,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0,20,6.48,3019951.72,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0,30,6.61,4073802.78,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0,40,6.74,5495408.74,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0,50,6.87,7413102.41,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0,60,7,10000000,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.003,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.003,10,6.34,2187761.62,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.003,20,6.45,2818382.93,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.003,30,6.57,3715352.29,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.003,40,6.68,4786300.92,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.003,50,6.79,6165950.02,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.003,60,6.9,7943282.35,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0076,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0076,10,6.3,1995262.31,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0076,20,6.38,2398832.92,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0076,30,6.45,2818382.93,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0076,40,6.53,3388441.56,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0076,50,6.61,4073802.78,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.0076,60,6.69,4897788.19,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.015,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.015,10,6.25,1778279.41,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.015,20,6.27,1862087.14,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.015,30,6.28,1905460.72,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.015,40,6.29,1949844.6,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.015,50,6.3,1995262.31,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.015,60,6.31,2041737.94,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.03,0,6.22,1659586.91,Regoes et al. (2004) AAC,Fig 2A
ciprofloxacin,0.03,10,6.1,1258925.41,Regoes et al. (2004) AAC,Fig 2A
